neuron_id,pc1,pc2,cluster,region
0,0,-0.961139,1,SENSORY
1,0,-0.0281839,1,SENSORY
2,0,-0.961139,1,SENSORY
3,0,-0.961139,1,SENSORY
4,0,-1.01208,1,SENSORY
5,0,-0.0329936,1,SENSORY
6,0,0,1,SENSORY
7,0,-1.01208,1,SENSORY
8,0,0,1,SENSORY
9,0,0,1,SENSORY
10,0,0,1,SENSORY
11,0,0,1,SENSORY
12,0,-0.961139,1,SENSORY
13,0,-0.917052,1,SENSORY
14,0,-0.961139,1,SENSORY
15,0,-0.917052,1,SENSORY
16,0,-0.961139,1,SENSORY
17,0,-0.961139,1,SENSORY
18,0,-0.917052,1,SENSORY
19,0,-0.961139,1,SENSORY
20,0,-0.961139,1,SENSORY
21,0,-0.917052,1,SENSORY
22,0,-0.917052,1,SENSORY
23,0,-1.06289,1,SENSORY
24,0,0,1,SENSORY
25,0,0,1,SENSORY
26,0,-0.917052,1,SENSORY
27,0,-0.961139,1,SENSORY
28,0,-1.8341,1,SENSORY
29,0,0,1,SENSORY
30,0,0,1,SENSORY
31,0,-0.0281839,1,SENSORY
32,0,0,1,SENSORY
33,0,-0.961139,1,SENSORY
34,0,-0.917052,1,SENSORY
35,0,-0.961139,1,SENSORY
36,0,0,1,SENSORY
37,0,0,1,SENSORY
38,0,0,1,SENSORY
39,0,-0.917052,1,SENSORY
40,0,0,1,SENSORY
41,0,-0.961139,1,SENSORY
42,0,0,1,SENSORY
43,0,-0.917052,1,SENSORY
44,0,-0.961139,1,SENSORY
45,0,-0.917052,1,SENSORY
46,0,0,1,SENSORY
47,0,-0.961139,1,SENSORY
48,0,-0.961139,1,SENSORY
49,0,-0.917052,1,SENSORY
50,0,-0.961139,1,SENSORY
51,0,-0.917052,1,SENSORY
52,0,-0.961139,1,SENSORY
53,0,-0.917052,1,SENSORY
54,0,-0.961139,1,SENSORY
55,0,-1.8341,1,SENSORY
56,0,-0.950045,1,SENSORY
57,0,-0.961139,1,SENSORY
58,0,-0.961139,1,SENSORY
59,0,-0.917052,1,SENSORY
60,0,-0.961139,1,SENSORY
61,0,0,1,SENSORY
62,0,-0.961139,1,SENSORY
63,0,-1.8452,1,SENSORY
64,0,-0.961139,1,SENSORY
65,0,0,1,SENSORY
66,0,-0.0281839,1,SENSORY
67,0,0,1,SENSORY
68,0,-0.917052,1,SENSORY
69,0,0,1,SENSORY
70,0,-1.8341,1,SENSORY
71,0,-0.917052,1,SENSORY
72,0,-0.917052,1,SENSORY
73,0,-0.917052,1,SENSORY
74,0,-0.917052,1,SENSORY
75,0,0,1,SENSORY
76,0,0,1,SENSORY
77,0,-0.917052,1,SENSORY
78,0,-0.961139,1,SENSORY
79,0,-1.8452,1,SENSORY
80,0,-0.917052,1,SENSORY
81,0,-0.961139,1,SENSORY
82,0,0,1,SENSORY
83,0,-0.950045,1,SENSORY
84,0,0,1,SENSORY
85,0,-0.917052,1,SENSORY
86,0,-0.961139,1,SENSORY
87,0,-0.961139,1,SENSORY
88,0,0,1,SENSORY
89,0,-0.917052,1,SENSORY
90,0,0,1,SENSORY
91,0,-0.917052,1,SENSORY
92,0,0,1,SENSORY
93,0,0,1,SENSORY
94,0,-0.961139,1,SENSORY
95,0,-0.0281839,1,SENSORY
96,0,0,1,SENSORY
97,0,-0.0281839,1,SENSORY
98,0,-1.8341,1,SENSORY
99,0,0,1,SENSORY
100,0,-0.0281839,1,SENSORY
101,0,-0.961139,1,SENSORY
102,0,-0.917052,1,SENSORY
103,0,-0.917052,1,SENSORY
104,0,0,1,SENSORY
105,0,0,1,SENSORY
106,0,-0.961139,1,SENSORY
107,0,-0.0281839,1,SENSORY
108,0,0,1,SENSORY
109,0,0,1,SENSORY
110,0,0,1,SENSORY
111,0,-1.8341,1,SENSORY
112,0,0,1,SENSORY
113,0,0,1,SENSORY
114,0,-0.917052,1,SENSORY
115,0,-0.961139,1,SENSORY
116,0,-0.0281839,1,SENSORY
117,0,0,1,SENSORY
118,0,0,1,SENSORY
119,0,-0.0281839,1,SENSORY
120,0,-0.961139,1,SENSORY
121,0,-0.961139,1,SENSORY
122,0,-0.0281839,1,SENSORY
123,0,-0.917052,1,SENSORY
124,0,0,1,SENSORY
125,0,-0.917052,1,SENSORY
126,0,-0.961139,1,SENSORY
127,0,0,1,SENSORY
128,0,0,1,SENSORY
129,0,-1.8341,1,SENSORY
130,0,-0.917052,1,SENSORY
131,0,-1.8452,1,SENSORY
132,0,0,1,SENSORY
133,0,-0.917052,1,SENSORY
134,0,-0.961139,1,SENSORY
135,0,-0.917052,1,SENSORY
136,0,0,1,SENSORY
137,0,0,1,SENSORY
138,0,0,1,SENSORY
139,0,-0.917052,1,SENSORY
140,0,-0.917052,1,SENSORY
141,0,-0.917052,1,SENSORY
142,0,-0.0281839,1,SENSORY
143,0,-0.961139,1,SENSORY
144,0,0,1,SENSORY
145,0,-0.961139,1,SENSORY
146,0,-0.961139,1,SENSORY
