============================================================
  SNN Stage 2: Joint Cortex Development
============================================================
  steps    = 1000000
  text     = f:\��Ŀ\THE TRUE AI\data\lccc_base.txt
  ckpt     = f:\��Ŀ\THE TRUE AI\data\stage2_1M_ckpt.bin
  resume   = (none)
  quiet    = no
  seed     = 42
============================================================

[Network] 分配 GPU 显存...
[Memory] 显存占用：
  神经元状态:  234.375 KB
  突触:        30.5176 MB
  CSR 索引:    7.66755 MB
  缓冲区:      56.6719 KB
  总计:        38.4693 MB
  6GB 显存占比: 0.626129%
[Network] allocate_only() 完成（拓扑未生成，等待 stage2 填充）
  神经元数: 10000
  突触容量: 1000000
[Stage2-Topology] Generating columnar topology:
  neurons           = 10000
  columns           = 10
  neurons/column    = 1000
  intra/neuron      = 80
  inter/neuron      = 20
  total synapses    = 1000000
[Stage2-Topology] Done.
[Stage2-Topology] Verification report:
  total synapses    = 1000000
  nonzero           = 1000000 (zero=0)
  intra-column      = 800000 (expected 800000)
  inter-column      = 200000 (expected 200000)
  excitatory (w>0)  = 800241
  inhibitory (w<0)  = 199759
  mean weight       = 0.0900261
  mean |weight|     = 0.149841
[TextStream] Loaded f:\��Ŀ\THE TRUE AI\data\lccc_base.txt: 869334535 raw bytes -> 869334535 filtered bytes

[Stage2] Starting 1000000-step training...
[Stage2-Trainer] Starting unsupervised training:
  start_step = 0
  n_steps    = 1000000
  ckpt_path  = f:\��Ŀ\THE TRUE AI\data\stage2_1M_ckpt.bin
  text_size  = 869334535 chars
[step 0] spikes(total=5 exc=5 inh=0) S=5 A=0 M=0 meanFR=2.5e-05 meanW=0.0900239 byte=\xE6
[step 1000] spikes(total=6671 exc=5950 inh=721) S=928 A=4276 M=1467 meanFR=0.315893 meanW=0.183228 byte=\xE7
[step 2000] spikes(total=1585 exc=1050 inh=535) S=898 A=451 M=236 meanFR=0.308009 meanW=0.183227 byte=\xE8
[step 3000] spikes(total=957 exc=880 inh=77) S=88 A=637 M=232 meanFR=0.297408 meanW=0.183225 byte=.
[step 4000] spikes(total=6671 exc=5950 inh=721) S=928 A=4276 M=1467 meanFR=0.315894 meanW=0.183212 byte=\xE5
[step 5000] spikes(total=1585 exc=1050 inh=535) S=898 A=451 M=236 meanFR=0.308009 meanW=0.183211 byte=\xBA
[step 6000] spikes(total=957 exc=880 inh=77) S=88 A=637 M=232 meanFR=0.297408 meanW=0.183209 byte=\xBF
[step 7000] spikes(total=6671 exc=5950 inh=721) S=928 A=4276 M=1467 meanFR=0.315893 meanW=0.183196 byte=\xE5
[step 8000] spikes(total=1585 exc=1050 inh=535) S=898 A=451 M=236 meanFR=0.308009 meanW=0.183195 byte=\xB8
[step 9000] spikes(total=957 exc=880 inh=77) S=88 A=637 M=232 meanFR=0.297408 meanW=0.183193 byte=\xE8
[step 10000] spikes(total=6671 exc=5950 inh=721) S=928 A=4276 M=1467 meanFR=0.315893 meanW=0.183181 byte=.
[step 11000] spikes(total=3433 exc=2939 inh=494) S=546 A=2132 M=755 meanFR=0.287419 meanW=0.25568 byte=\xBC
[step 12000] spikes(total=4436 exc=3872 inh=564) S=477 A=3037 M=922 meanFR=0.295221 meanW=0.25569 byte=\x96
[step 13000] spikes(total=802 exc=760 inh=42) S=691 A=82 M=29 meanFR=0.284469 meanW=0.255694 byte=.
[step 14000] spikes(total=3433 exc=2939 inh=494) S=546 A=2132 M=755 meanFR=0.287419 meanW=0.255672 byte=.
[step 15000] spikes(total=4436 exc=3872 inh=564) S=477 A=3037 M=922 meanFR=0.295221 meanW=0.255682 byte=\x8C
[step 16000] spikes(total=802 exc=760 inh=42) S=691 A=82 M=29 meanFR=0.284468 meanW=0.255687 byte=.
[step 17000] spikes(total=3433 exc=2939 inh=494) S=546 A=2132 M=755 meanFR=0.287419 meanW=0.255665 byte=\xE5
[step 18000] spikes(total=4436 exc=3872 inh=564) S=477 A=3037 M=922 meanFR=0.295221 meanW=0.255675 byte=\xE5
[step 19000] spikes(total=802 exc=760 inh=42) S=691 A=82 M=29 meanFR=0.284468 meanW=0.25568 byte=\x88
[step 20000] spikes(total=3433 exc=2939 inh=494) S=546 A=2132 M=755 meanFR=0.287419 meanW=0.255657 byte=.
[step 21000] spikes(total=2610 exc=2250 inh=360) S=524 A=1523 M=563 meanFR=0.282353 meanW=0.267912 byte=.
[step 22000] spikes(total=5252 exc=4602 inh=650) S=520 A=3627 M=1105 meanFR=0.29449 meanW=0.267912 byte=.
[step 23000] spikes(total=741 exc=695 inh=46) S=654 A=67 M=20 meanFR=0.283465 meanW=0.267912 byte=.
[step 24000] spikes(total=2610 exc=2250 inh=360) S=524 A=1523 M=563 meanFR=0.282353 meanW=0.267904 byte=\xEF
[step 25000] spikes(total=5252 exc=4602 inh=650) S=520 A=3627 M=1105 meanFR=0.29449 meanW=0.267907 byte=.
[step 26000] spikes(total=741 exc=695 inh=46) S=654 A=67 M=20 meanFR=0.283465 meanW=0.267906 byte=\xA6
[step 27000] spikes(total=2610 exc=2250 inh=360) S=524 A=1523 M=563 meanFR=0.282353 meanW=0.267899 byte=\xE6
[step 28000] spikes(total=5252 exc=4602 inh=650) S=520 A=3627 M=1105 meanFR=0.29449 meanW=0.267902 byte=\xAC
[step 29000] spikes(total=741 exc=695 inh=46) S=654 A=67 M=20 meanFR=0.283465 meanW=0.267901 byte=\x95
[step 30000] spikes(total=2610 exc=2250 inh=360) S=524 A=1523 M=563 meanFR=0.282353 meanW=0.267895 byte=\xBB
[step 31000] spikes(total=2104 exc=1913 inh=191) S=633 A=1087 M=384 meanFR=0.27899 meanW=0.27496 byte=\xBA
[step 32000] spikes(total=5919 exc=5122 inh=797) S=601 A=4044 M=1274 meanFR=0.294632 meanW=0.274973 byte=.
[step 33000] spikes(total=539 exc=493 inh=46) S=454 A=65 M=20 meanFR=0.282586 meanW=0.274963 byte=\xBF
[step 34000] spikes(total=2104 exc=1913 inh=191) S=633 A=1087 M=384 meanFR=0.27899 meanW=0.274952 byte=.
