neuron_id,pc1,pc2,cluster,region
0,0,-954.628,2,SENSORY
1,0,-957.871,6,SENSORY
2,0,-957.871,6,SENSORY
3,0,-958.675,7,SENSORY
4,0,-954.628,2,SENSORY
5,0,-957.871,6,SENSORY
6,0,-957.871,6,SENSORY
7,0,-957.871,6,SENSORY
8,0,-954.628,2,SENSORY
9,0,-954.628,2,SENSORY
10,0,-954.628,2,SENSORY
11,0,-957.726,0,SENSORY
12,0,-954.628,2,SENSORY
13,0,-954.628,2,SENSORY
14,0,-958.675,7,SENSORY
15,0,-954.628,2,SENSORY
16,0,-954.628,2,SENSORY
17,0,-954.628,2,SENSORY
18,0,-954.628,2,SENSORY
19,0,-958.675,7,SENSORY
20,0,-954.628,2,SENSORY
21,0,-954.628,2,SENSORY
22,0,-954.628,2,SENSORY
23,0,-954.628,2,SENSORY
24,0,-954.628,2,SENSORY
25,0,-954.628,2,SENSORY
26,0,-954.628,2,SENSORY
27,0,-954.628,2,SENSORY
28,0,-954.628,2,SENSORY
29,0,-954.628,2,SENSORY
30,0,-958.675,7,SENSORY
31,0,-954.628,2,SENSORY
32,0,-954.628,2,SENSORY
33,0,-954.628,2,SENSORY
34,0,-954.628,2,SENSORY
35,0,-954.628,2,SENSORY
36,0,-954.628,2,SENSORY
37,0,-958.675,7,SENSORY
38,0,-954.628,2,SENSORY
39,0,-954.628,2,SENSORY
40,0,-954.628,2,SENSORY
41,0,-954.628,2,SENSORY
42,0,-954.628,2,SENSORY
43,0,-954.628,2,SENSORY
44,0,-954.628,2,SENSORY
45,0,-954.628,2,SENSORY
46,0,-958.675,7,SENSORY
47,0,-954.628,2,SENSORY
48,0,-954.628,2,SENSORY
49,0,-954.628,2,SENSORY
50,0,-954.628,2,SENSORY
51,0,-954.628,2,SENSORY
52,0,-957.726,0,SENSORY
53,0,-954.628,2,SENSORY
54,0,-954.628,2,SENSORY
55,0,-954.628,2,SENSORY
56,0,-954.628,2,SENSORY
57,0,-954.628,2,SENSORY
58,0,-954.628,2,SENSORY
59,0,-954.628,2,SENSORY
60,0,-954.628,2,SENSORY
61,0,-954.628,2,SENSORY
62,0,-954.628,2,SENSORY
63,0,-954.628,2,SENSORY
64,0,-954.628,2,SENSORY
65,0,-954.628,2,SENSORY
66,0,-954.628,2,SENSORY
67,0,-954.628,2,SENSORY
68,0,-954.628,2,SENSORY
69,0,-954.628,2,SENSORY
70,0,-954.628,2,SENSORY
71,0,-954.628,2,SENSORY
72,0,-958.675,7,SENSORY
73,0,-954.628,2,SENSORY
74,0,-954.628,2,SENSORY
75,0,-954.628,2,SENSORY
76,0,-954.628,2,SENSORY
77,0,-954.628,2,SENSORY
78,0,-958.675,7,SENSORY
79,0,-954.628,2,SENSORY
80,0,-954.628,2,SENSORY
81,0,-954.628,2,SENSORY
82,0,-954.628,2,SENSORY
83,0,-954.628,2,SENSORY
84,0,-954.628,2,SENSORY
85,0,-954.628,2,SENSORY
86,0,-954.628,2,SENSORY
87,0,-954.628,2,SENSORY
88,0,-954.628,2,SENSORY
89,0,-954.628,2,SENSORY
90,0,-954.628,2,SENSORY
91,0,-954.628,2,SENSORY
92,0,-954.628,2,SENSORY
93,0,-954.628,2,SENSORY
94,0,-954.628,2,SENSORY
95,0,-954.628,2,SENSORY
96,0,-954.628,2,SENSORY
97,0,-958.675,7,SENSORY
98,0,-958.675,7,SENSORY
99,0,-954.628,2,SENSORY
100,0,-954.628,2,SENSORY
101,0,-954.628,2,SENSORY
102,0,-954.628,2,SENSORY
103,0,-954.628,2,SENSORY
104,0,-954.628,2,SENSORY
105,0,-954.628,2,SENSORY
