step,spikes,is_inject_step,byte,nmda_sum,nmda_nz,xpre_sum,xpre_nz,ca_sum,ca_nz,weight_sum,weight_abs_sum
0,2160,1,0,102.2327,42523,12312.3301,410411,15.5175,410411,1777397.8750,2962719.7500
1,0,0,0,111.4125,42523,11711.8506,410411,32.6544,410411,1777397.8750,2962719.7500
2,0,0,0,109.6352,42523,11140.6572,410411,49.1123,410411,1777397.8750,2962719.7500
3,0,0,0,107.9302,42523,10597.3213,410411,64.9231,410411,1777397.8750,2962719.7500
4,0,0,0,106.3577,42523,10080.4844,410411,80.1293,410411,1777397.8750,2962719.7500
5,0,0,0,104.9007,42523,9588.8535,410411,94.7682,410411,1777397.8750,2962719.7500
6,0,0,0,103.5448,42523,9121.1992,410411,108.8728,410411,1777397.8750,2962719.7500
7,0,0,0,102.2775,42523,8676.3535,410411,122.4727,410411,1777397.8750,2962719.7500
8,0,0,0,101.0881,42523,8253.2031,410411,135.5943,410411,1777397.8750,2962719.7500
9,0,0,0,99.9673,42523,7850.6895,410411,148.2612,410411,1777397.8750,2962719.7500
10,2213,1,1,209.7871,44649,20077.2266,740607,177.6284,740607,1777397.8750,2962719.7500
11,0,0,0,224.0918,44649,19098.0488,740607,209.5244,740607,1777397.8750,2962719.7500
12,0,0,0,220.2882,44649,18166.6270,740607,240.0459,740607,1777397.8750,2962719.7500
13,0,0,0,216.6330,44649,17280.6309,740607,269.2601,740607,1777397.8750,2962719.7500
14,0,0,0,213.2732,44649,16437.8438,740607,297.2602,740607,1777397.8750,2962719.7500
15,0,0,0,210.1712,44649,15636.1621,740607,324.1277,740607,1777397.8750,2962719.7500
16,0,0,0,207.2945,44649,14873.5781,740607,349.9347,740607,1777397.8750,2962719.7500
17,0,0,0,204.6152,44649,14148.1855,740607,374.7450,740607,1777397.8750,2962719.7500
18,0,0,0,202.1093,44649,13458.1709,740607,398.6154,740607,1777397.8750,2962719.7500
19,0,0,0,199.7562,44649,12801.8086,740607,421.5968,740607,1777397.8750,2962719.7500
20,2232,1,2,312.8529,45656,24901.7773,992419,461.6645,992419,1777397.8750,2962719.7500
