step,spikes,is_inject_step,byte,nmda_sum,nmda_nz,xpre_sum,xpre_nz,ca_sum,ca_nz,weight_sum,weight_abs_sum
0,18,1,0,1.1201,3006,102.1500,3405,0.1700,3405,6917943.0000,11530417.0000
1,257,0,0,14.6524,25715,1560.1481,52171,2.6286,52171,6917943.0000,11530417.0000
2,0,0,0,14.9107,25715,1484.0587,52171,5.2586,52171,6917943.0000,11530417.0000
3,1886,0,0,104.4270,42518,12164.4004,409651,21.1500,409651,6917943.0000,11530417.0000
4,17,0,0,114.3283,42523,11667.7656,410411,38.7636,410411,6917943.0000,11530417.0000
5,77,1,1,129.3073,42630,11536.4824,415744,59.7681,415744,6917943.0000,11530417.0000
6,176,0,0,144.9379,42953,11976.8320,448989,84.2790,448989,6917943.0000,11530417.0000
7,30,0,0,149.4112,42965,11564.0449,450907,110.4677,450907,6917943.0000,11530417.0000
8,1694,0,0,241.6060,44606,20654.3594,733005,148.3667,733005,6917943.0000,11530417.0000
9,46,0,0,257.5334,44648,19909.5059,740035,189.2006,740035,6917943.0000,11530417.0000
10,167,1,2,284.1013,44668,19889.2070,744976,236.1550,744976,6917943.0000,11530417.0000
11,167,0,0,300.8617,44760,19871.1602,769689,287.7535,769689,6917943.0000,11530417.0000
12,415,0,0,329.9050,44772,21269.0020,771965,344.3811,771965,6917943.0000,11530417.0000
13,1232,0,0,398.3187,45617,27254.5508,981755,407.2522,981755,6917943.0000,11530417.0000
14,108,0,0,415.9116,45646,26540.9922,989943,472.8801,989943,6917943.0000,11530417.0000
15,193,1,3,446.5438,45669,26347.6035,996770,545.8500,996770,6917943.0000,11530417.0000
16,209,0,0,462.2436,45729,26252.9258,1013088,623.8857,1013088,6917943.0000,11530417.0000
17,649,0,0,500.9458,45740,28671.0156,1016107,706.8612,1016107,6917943.0000,11530417.0000
18,1011,0,0,552.4839,46320,33038.8945,1185316,791.9122,1185316,6917943.0000,11530417.0000
19,149,0,0,567.4695,46340,32276.5703,1194048,878.5754,1194048,6917943.0000,11530417.0000
20,211,1,4,601.1940,46350,31906.3848,1197855,973.4854,1197855,6917943.0000,11530417.0000
21,321,0,0,619.2357,46388,32179.1230,1212844,1073.5750,1212844,6917943.0000,11530417.0000
22,514,0,0,640.9518,46395,33535.5703,1216838,1175.5690,1216838,6917943.0000,11530417.0000
23,1010,0,0,685.7120,46775,37656.4805,1349210,1276.2578,1349210,6917943.0000,11530417.0000
24,163,0,0,696.1458,46787,36751.6953,1353413,1377.0422,1353413,6917943.0000,11530417.0000
